gene,strand,dN,dS,pN_G,pS_G,DoS_G,pN_S,pS_S,DoS_S
LSDV141,+,10,3,33,6,-0.07692307692307687,0,1,0.7692307692307693
LSDV142,+,15,6,20,21,0.22648083623693382,7,22,0.4729064039408867
LSDV143,+,12,9,19,13,-0.022321428571428603,11,2,-0.27472527472527475
LSDV144,+,22,17,55,43,0.0028780743066457726,18,39,0.2483130904183536
LSDV145,+,0,2,10,0,-1.0,2,13,-0.13333333333333333
LSDV146,+,3,0,0,0,,2,16,0.8888888888888888
LSDV147,+,20,24,24,49,0.12577833125778332,14,7,-0.2121212121212121
LSDV148,+,27,14,40,54,0.23300467047223666,13,2,-0.208130081300813
LSDV149,+,19,16,59,28,-0.13530377668308702,22,16,-0.03609022556390984
LSDV150,+,9,7,19,10,-0.09267241379310343,3,2,-0.03749999999999998
LSDV151,+,27,18,41,43,0.1119047619047619,14,8,-0.036363636363636376
LSDV152,+,29,23,48,36,-0.013736263736263687,18,14,-0.004807692307692291
LSDV153,+,26,2,8,0,-0.0714285714285714,0,0,
LSDV154,+,1,0,32,31,0.4920634920634921,10,0,0.0
LSDV155,+,1,0,3,0,0.0,13,0,0.0
LSDV156,+,4,8,0,6,0.3333333333333333,0,1,0.3333333333333333
