GTPV_gene_ID	start	end	SPPV_gene_ID	start	end	LSDV_gene_ID	start	end
GTPV_gp044	41780	43081	SPPV_44	41604	42905	LSDV048	41679	42980
GTPV_gp045	43087	45117	SPPV_45	42911	44941	LSDV049	42986	45016
GTPV_gp046	45114	46901	SPPV_46	44938	46725	LSDV050	45013	46803
GTPV_gp047	46898	47230	SPPV_47	46722	47054	LSDV052	46800	47132
GTPV_gp048	47224	47892	SPPV_48	47048	47716	LSDV051	47126	47794
GTPV_gp049	47856	48236	SPPV_49	47680	48060	LSDV053	47758	48138
GTPV_gp050	48239	49552	SPPV_50	48063	49376	LSDV054	48141	49454
GTPV_gp051	49553	49744	SPPV_51	49388	49579	LSDV055	49455	49646
GTPV_gp052	49744	50268	SPPV_52	49579	50103	LSDV056	49646	50170
GTPV_gp053	50282	51403	SPPV_53	50117	51236	LSDV057	50184	51305
GTPV_gp054	51434	52216	SPPV_54	51270	52052	LSDV058	51335	52117
GTPV_gp055	52243	53253	SPPV_55	52079	53092	LSDV059	52144	53154
GTPV_gp056	53254	53991	SPPV_56	53093	53830	LSDV060	53155	53892
GTPV_gp057	54020	54298	SPPV_57	53868	54146	LSDV061	53930	54208
GTPV_gp058	54308	55276	SPPV_58	54163	55119	LSDV062	54218	55174
GTPV_gp059	55301	56062	SPPV_59	55144	55905	LSDV063	55199	55960
GTPV_gp060	56078	56473	SPPV_60	55921	56319	LSDV064	55976	56371
GTPV_gp061	56430	56873	SPPV_61	56273	56716	LSDV065	56328	56771
GTPV_gp062	56901	57434	SPPV_62	56741	57275	LSDV066	56799	57332
GTPV_gp063	57507	58098	SPPV_63	57348	57942	LSDV067	57405	57998
GTPV_gp064	58158	59164	SPPV_64	58003	59005	LSDV068	58057	59058
GTPV_gp065	59079	59636	SPPV_65	58920	59477	LSDV069	58973	59530
GTPV_gp066	59642	60043	SPPV_66	59483	59884	LSDV070	59536	59937
GTPV_gp067	60129	63991	SPPV_67	59971	63829	LSDV071	60023	63880
GTPV_gp068	63995	64510	SPPV_68	63834	64349	LSDV072	63885	64400
GTPV_gp069	64526	65099	SPPV_69	64365	64937	LSDV073	64416	64988
GTPV_gp070	65096	66064	SPPV_70	64934	65905	LSDV074	64985	65953
GTPV_gp071	66094	68490	SPPV_71	65936	68333	LSDV075	65983	68379
GTPV_gp072	68632	69356	SPPV_72	68477	69164	LSDV076	68523	69194
GTPV_gp073	69398	70354	SPPV_73	69206	70159	LSDV077	69236	70189
GTPV_gp074	70374	70817	SPPV_74	70179	70622	LSDV078	70209	70652
GTPV_gp075	70845	73376	SPPV_75	70654	73182	LSDV079	70683	73211
GTPV_gp076	73338	73805	SPPV_76	73144	73611	LSDV080	73173	73640
GTPV_gp077	73807	74547	SPPV_77	73613	74350	LSDV081	73642	74379
GTPV_gp078	74544	75200	SPPV_78	74347	75003	LSDV082	74376	75032
GTPV_gp079	75243	77603	SPPV_79	75046	77406	LSDV083	75075	77435
GTPV_gp080	77600	79507	SPPV_80	77403	79310	LSDV084	77432	79339
GTPV_gp081	79532	80023	SPPV_81	79335	79826	LSDV085	79364	79855
GTPV_gp082	80064	80705	SPPV_82	79829	80509	LSDV086	79896	80537
GTPV_gp083	80705	81466	SPPV_83	80509	81270	LSDV087	80537	81298
GTPV_gp084	81472	83379	SPPV_84	81277	83184	LSDV088	81304	83211
GTPV_gp085	83404	84267	SPPV_85	83211	84074	LSDV089	83238	84101
GTPV_gp086	84307	85956	SPPV_86	84115	85764	LSDV090	84142	85791
GTPV_gp087	85983	86435	SPPV_87	85791	86243	LSDV091	85818	86270
GTPV_gp088	86465	87148	SPPV_88	86273	86956	LSDV092	86300	86998
GTPV_gp089	87160	87387	SPPV_89	86968	87195	LSDV093	86995	87222
GTPV_gp090	87396	89378	SPPV_90	87204	89189	LSDV094	87231	89216
GTPV_gp091	89454	89942	SPPV_91	89265	89750	LSDV095	89341	89826
GTPV_gp092	89983	90486	SPPV_92	89791	90303	LSDV096	89867	90376
GTPV_gp093	90483	91619	SPPV_93	90300	91427	LSDV097	90373	91500
GTPV_gp094	91640	93784	SPPV_94	91448	93592	LSDV098	91521	93665
GTPV_gp095	93841	94713	SPPV_95	93648	94520	LSDV099	93722	94594
GTPV_gp096	94722	94958	SPPV_96	94536	94772	LSDV100	94618	94854
GTPV_gp097	94959	97674	SPPV_97	94773	97490	LSDV101	94855	97569
GTPV_gp098	97689	98642	SPPV_98	97505	98458	LSDV102	97584	98537
GTPV_gp099	98639	99211	SPPV_99	98455	99027	LSDV103	98534	99106
GTPV_gp100	99271	99474	SPPV_100	99080	99283	LSDV104	99172	99375
GTPV_gp101	99556	99843	SPPV_101	99367	99655	LSDV105	99457	99744
GTPV_gp148	99860	100024	SPPV_101a	99672	99834	LSDV106	99761	99922
GTPV_gp102	100014	100302	SPPV_102	99824	100111	LSDV107	99912	100199
GTPV_gp103	100286	101419	SPPV_103	100095	101228	LSDV108	100183	101316
GTPV_gp104	101435	102019	SPPV_104	101244	101828	LSDV109	101332	101922
GTPV_gp105	102034	103476	SPPV_105	101843	103285	LSDV110	101937	103379
GTPV_gp106	103457	103681	SPPV_106	103266	103490	LSDV111	103360	103584
GTPV_gp107	103682	104029	SPPV_107	103491	103838	LSDV113	103585	103932
GTPV_gp108	104028	105320	SPPV_108	103837	105129	LSDV112	103931	105223
GTPV_gp109	105289	105828	SPPV_109	105098	105604	LSDV114	105192	105698
GTPV_gp110	105821	106981	SPPV_110	105629	106786	LSDV115	105723	106880
GTPV_gp111	107012	110482	SPPV_111	106817	110287	LSDV116	106911	110381
GTPV_gp112	110496	110942	SPPV_112	110426	110878	LSDV117	110395	110841
GTPV_gp113	110943	111365	SPPV_113	110879	111301	LSDV118	110842	111264
GTPV_gp114	111366	112277	SPPV_114	111302	112213	LSDV119	111265	112176
GTPV_gp115	112246	112624	SPPV_115	112182	112406	LSDV120	112145	112369
GTPV_gp116	112650	113412	SPPV_116	112581	113348	LSDV121	112548	113312
GTPV_gp117	113549	114142	SPPV_117	113485	114074	LSDV122	113444	114034
GTPV_gp118	114172	114690	SPPV_118	114110	114626	LSDV123	114067	114582
GTPV_gp119	114719	115297	SPPV_119	114654	115229	LSDV124	114610	115185
GTPV_gp120	115334	116201	SPPV_120	115266	116132	LSDV125	115222	116088
GTPV_gp121	116261	116779	SPPV_121	116188	116707	LSDV126	116147	116692
GTPV_gp122	116790	117612	SPPV_122	116718	117539	LSDV127	116703	117524
GTPV_gp123	117616	118518	SPPV_123	117543	118448	LSDV128	117528	118433
GTPV_gp124	118617	118970	SPPV_124	118547	118867	LSDV129	118531	118902
GTPV_gp125	119040	119288	SPPV_125	118937	119170	LSDV130	118971	119216
GTPV_gp126	119344	119843	SPPV_126	119236	119724	LSDV131	119272	119757
inferred	119844	120407	inferred	119723	120346	LSDV132	119792	120322
GTPV_gp127	120408	122115	SPPV_127	120347	122024	LSDV133	120352	122031
GTPV_gp128	122235	128309	SPPV_128	122141	128238	LSDV134	122186	128263
GTPV_gp129	128379	129589	SPPV_129	128301	129383	LSDV135	128333	129415
GTPV_gp129.5	129633	129908	inferred	129384	129923	LSDV136	129463	129924
GTPV_gp130	130155	131172	SPPV_130	129924	130959	LSDV137	129990	130997
GTPV_gp131	131202	131762	SPPV_131	130993	131540	LSDV138	131027	131587
GTPV_gp132	131801	132726	SPPV_132	131579	132496	LSDV139	131626	132543
GTPV_gp133	132759	133481	SPPV_133	132527	133249	LSDV140	132575	133297
GTPV_gp134	133530	134207	SPPV_134	133299	133979	LSDV141	133346	134020
GTPV_gp135	134209	134616	SPPV_135	133981	134388	LSDV142	134022	134426
GTPV_gp136	134653	135561	SPPV_136	134425	135333	LSDV143	134463	135371
GTPV_gp137	135683	137383	SPPV_137	135497	137144	LSDV144	135541	137208
GTPV_gp138	137431	139336	SPPV_138	137193	139090	LSDV145	137232	139136
GTPV_gp139	139459	140711	SPPV_139	139211	140446	LSDV146	139265	140506
GTPV_gp140	140766	142265	SPPV_140	140511	142009	LSDV147	140571	142067
GTPV_gp141	142312	143656	SPPV_141	142057	143401	LSDV148	142115	143458
GTPV_gp142	143678	144691	SPPV_142	143421	144435	LSDV149	143479	144492
GTPV_gp143	144730	145215	SPPV_143	144474	144960	LSDV150	144531	145016
GTPV_gp144	145256	146914	SPPV_144	145001	146660	LSDV151	145058	146713
GTPV_gp145	146984	148347	SPPV_145	146733	148202	LSDV152	146779	148248
inferred	148348	148822	inferred	148203	148311	LSDV153	148293	148568
GTPV_gp146	148821	149556	SPPV_146	148312	149251	LSDV154	148638	149360
inferred	149557	150000	inferred	149523	149897	LSDV155	149610	150005
inferred	150001	150500	SPPV_147	149898	150378	LSDV156	150076	150555
