Gene,GTPV_SNPs/Kb,GTPV_Mutations/Kb,SPPV_SNPs/Kb,SPPV_Mutations/Kb
LSDV064,20.2,88.2,2.5,2.5
LSDV065,11.2,29.2,9.0,9.0
LSDV066,20.4,63.1,3.7,26.2
LSDV067,8.4,40.5,0.0,0.0
LSDV068,8.9,36.7,2.0,2.0
LSDV069,23.1,74.6,7.2,57.2
LSDV070,12.4,44.8,0.0,0.0
LSDV071,11.9,50.2,5.2,22.6
LSDV072,15.5,50.4,0.0,0.0
LSDV073,13.9,59.2,3.5,3.5
LSDV074,13.4,56.8,2.1,2.1
LSDV075,20.8,87.0,2.9,23.4
LSDV076,5.5,15.2,7.4,22.3
LSDV077,9.4,27.1,1.0,1.0
LSDV078,6.8,42.8,0.0,0.0
LSDV079,14.6,65.9,4.0,26.9
LSDV080,12.8,53.4,6.4,23.5
LSDV081,13.5,56.7,6.8,43.4
LSDV082,21.3,74.6,3.0,15.2
LSDV083,6.8,19.9,2.5,5.9
LSDV084,8.9,32.0,4.7,16.2
LSDV085,20.3,79.3,6.1,28.5
LSDV086,14.0,67.0,4.7,18.7
LSDV087,10.5,35.4,1.3,6.6
LSDV088,17.3,61.3,0.5,14.7
LSDV089,9.3,40.5,2.3,5.8
LSDV090,11.5,44.8,9.1,33.3
LSDV091,8.8,44.2,2.2,61.8
LSDV092,13.2,36.5,0.0,0.0
LSDV093,4.4,13.2,4.4,4.4
LSDV094,12.5,52.6,3.0,17.1
LSDV095,4.1,24.5,6.1,69.5
LSDV096,4.0,9.9,5.9,31.4
LSDV097,8.8,32.5,0.0,0.0
LSDV098,11.2,41.5,3.3,14.9
LSDV099,12.6,56.1,6.9,8.0
LSDV100,25.3,84.4,4.2,4.2
LSDV101,15.1,61.5,4.8,42.7
LSDV102,20.9,81.5,2.1,3.1
LSDV103,12.2,55.7,5.2,38.3
LSDV104,19.6,107.8,0.0,0.0
LSDV105,0.0,0.0,6.9,13.9
LSDV106,30.3,97.0,0.0,0.0
LSDV107,3.5,10.4,6.9,100.7
LSDV108,15.0,54.7,6.2,28.2
LSDV109,8.5,20.5,5.1,8.5
LSDV110,22.9,77.6,5.5,22.9
LSDV111,13.3,31.1,0.0,0.0
LSDV112,8.9,26.8,3.1,10.8
LSDV113,11.5,37.4,0.0,0.0
LSDV114,11.1,37.0,2.0,25.6
LSDV115,8.6,35.3,5.2,12.1
LSDV116,16.1,62.2,4.9,24.8
LSDV117,8.9,26.8,15.7,33.6
LSDV118,11.8,49.6,11.8,75.7
LSDV119,8.8,26.3,6.6,6.6
LSDV120,7.9,18.5,0.0,0.0
LSDV121,16.9,57.2,7.8,20.8
LSDV122,18.5,73.9,11.8,37.2
LSDV123,9.6,48.2,1.9,1.9
LSDV124,6.9,24.2,1.7,50.3
LSDV125,12.7,61.0,3.5,13.8
LSDV126,19.3,59.7,0.0,0.0
LSDV127,18.1,59.2,1.2,3.6
LSDV128,26.0,98.6,12.1,30.8
LSDV129,16.9,59.3,5.3,29.4
LSDV130,87.8,316.8,30.2,148.9
LSDV131,54.8,201.6,21.5,107.3
LSDV132,22.5,97.4,5.9,17.8
LSDV133,21.1,74.3,7.1,27.3
LSDV134,17.6,66.5,6.9,25.5
LSDV135,29.5,122.0,17.0,96.0
LSDV136,18.1,79.7,0.0,0.0
LSDV137,12.7,40.2,5.9,17.8
LSDV138,17.8,90.9,3.6,5.3
LSDV139,21.6,91.8,6.5,7.6
LSDV140,23.5,102.4,2.8,2.8
LSDV141,8.8,36.9,20.7,59.3
LSDV142,38.7,94.6,4.9,4.9
LSDV143,23.1,77.0,7.7,65.7
LSDV144,14.1,51.7,6.6,34.1
LSDV145,17.2,55.7,7.9,19.4
LSDV146,15.9,60.5,7.2,49.0
LSDV147,18.7,86.6,4.7,12.7
LSDV148,24.5,100.4,16.4,34.9
LSDV149,11.8,35.5,7.9,6.9
LSDV150,16.5,74.1,4.1,4.1
LSDV151,20.5,84.9,20.5,66.3
LSDV152,69.9,158.5,11.5,33.9
LSDV153,45.5,171.8,7.2,97.8
LSDV154,NA,NA,13.7,69.8
